CreationTime,Id,Operation,OrganizationId,OrganizationName,OriginatingServer,Parameters,ExtendedProperties,RecordType,UserKey,UserType,Version,Workload,ClientIP,ActorIpAddress,ResultStatus,ObjectId,UserId,CorrelationId,EventSource,ItemType,UserAgent,EventData,WebId,ListId,ListItemId,SiteUrl,SourceFileExtension,SourceFileName,SourceRelativeUrl
12/18/2023 4:58:00 PM,48df7970-6d6f-4272-5665-08dbffea7de9,AddedToGroup,6d0f5fa7-7e4f-417d-a8fe-07682da182e8,,,,,14,i:0h.f|membership|1234567890dd45@live.com,0,1,OneDrive,,,,https://contoso-my.sharepoint.com/personal/user_test_contoso_co_uk,test@contoso.sharepoint.com,9c00f9a0-0028-7000-d005-a3033a8260e4,SharePoint,Web,,<Group>Limited Access System Group For Web efb03cdc-a133-4523-9343-6b565833615a</Group>,efb03cdc-a133-4523-9343-6b565833615a,,,https://contoso-my.sharepoint.com/personal/user_test_contoso_co_uk,,,
12/18/2023 4:58:00 PM,3664a1e6-8626-4cb6-5665-08dbffea7de9,AddedToGroup,6d0f5fa7-7e4f-417d-a8fe-07682da182e8,,,,,14,i:0h.f|membership|1234567890dd45@live.com,0,1,OneDrive,,,,https://contoso-my.sharepoint.com/personal/user_test_contoso_co_uk,test@contoso.sharepoint.com,9c00f9a0-0028-7000-d005-a3033a8260e4,SharePoint,Web,,<Group>Limited Access System Group For List 3b063048-57a9-48bc-a453-5ae450cc0631</Group>,efb03cdc-a133-4523-9343-6b565833615a,,,https://contoso-my.sharepoint.com/personal/user_test_contoso_co_uk,,,
12/18/2023 4:58:00 PM,3664a1e6-8626-4cb6-5665-08dbffea7de9,AddedToGroup,6d0f5fa7-7e4f-417d-a8fe-07682da182e8,,,,,14,i:0h.f|membership|1234567890dd45@live.com,0,1,OneDrive,,,,https://contoso-my.sharepoint.com/personal/user_test_contoso_co_uk,test@contoso.sharepoint.com,9c00f9a0-0028-7000-d005-a3033a8260e4,SharePoint,Web,,<Group>Limited Access System Group For List 3b063048-57a9-48bc-a453-5ae450cc0631</Group>,efb03cdc-a133-4523-9343-6b565833615a,,,https://contoso-my.sharepoint.com/personal/user_test_contoso_co_uk,,,
12/18/2023 4:58:00 PM,41e86f32-5a4b-491d-f447-08dbffea7de6,AddedToGroup,6d0f5fa7-7e4f-417d-a8fe-07682da182e8,,,,,14,i:0h.f|membership|1234567890dd45@live.com,0,1,OneDrive,,,,https://contoso-my.sharepoint.com/personal/user_test_contoso_co_uk,test@contoso.sharepoint.com,9c00f9a0-0028-7000-d005-a3033a8260e4,SharePoint,Web,,<Group>SharingLinks.6a9ae11e-a871-437b-8716-d0de330e63da.OrganizationView.4ecf669a-d100-44a6-9b93-460bcb678d70</Group>,efb03cdc-a133-4523-9343-6b565833615a,,,https://contoso-my.sharepoint.com/personal/user_test_contoso_co_uk,,,
12/18/2023 4:58:00 PM,41e86f32-5a4b-491d-f447-08dbffea7de6,AddedToGroup,6d0f5fa7-7e4f-417d-a8fe-07682da182e8,,,,,14,i:0h.f|membership|1234567890dd45@live.com,0,1,OneDrive,,,,https://contoso-my.sharepoint.com/personal/user_test_contoso_co_uk,test@contoso.sharepoint.com,9c00f9a0-0028-7000-d005-a3033a8260e4,SharePoint,Web,,<Group>SharingLinks.6a9ae11e-a871-437b-8716-d0de330e63da.OrganizationView.4ecf669a-d100-44a6-9b93-460bcb678d70</Group>,efb03cdc-a133-4523-9343-6b565833615a,,,https://contoso-my.sharepoint.com/personal/user_test_contoso_co_uk,,,
12/18/2023 4:58:00 PM,48df7970-6d6f-4272-5665-08dbffea7de9,AddedToGroup,6d0f5fa7-7e4f-417d-a8fe-07682da182e8,,,,,14,i:0h.f|membership|1234567890dd45@live.com,0,1,OneDrive,,,,https://contoso-my.sharepoint.com/personal/user_test_contoso_co_uk,test@contoso.sharepoint.com,9c00f9a0-0028-7000-d005-a3033a8260e4,SharePoint,Web,,<Group>Limited Access System Group For Web efb03cdc-a133-4523-9343-6b565833615a</Group>,efb03cdc-a133-4523-9343-6b565833615a,,,https://contoso-my.sharepoint.com/personal/user_test_contoso_co_uk,,,
12/18/2023 4:58:00 PM,5e81f77d-08b3-4d50-cdf0-08dbffea7dc0,CompanyLinkCreated,6d0f5fa7-7e4f-417d-a8fe-07682da182e8,,,,,14,i:0h.f|membership|1234567890dd45@live.com,0,1,OneDrive,,,,https://contoso-my.sharepoint.com/personal/user_test_contoso_co_uk/Documents/Microsoft Teams Chat Files/log-file-information_2023-12-18_1512.log,test@contoso.sharepoint.com,9c00f9a0-0028-7000-d005-a3033a8260e4,SharePoint,File,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Teams/1.6.00.34456 Chrome/102.0.5005.197 Electron/19.1.8 Safari/537.36",<Type>View</Type><MembersCanShareApplied>False</MembersCanShareApplied>,efb03cdc-a133-4523-9343-6b565833615a,3b063048-57a9-48bc-a453-5ae450cc0631,,https://contoso-my.sharepoint.com/personal/user_test_contoso_co_uk,log,log-file-information_2023-12-18_1512.log,Documents/Microsoft Teams Chat Files/log-file-information_2023-12-18_1512.log
12/18/2023 4:58:00 PM,5e81f77d-08b3-4d50-cdf0-08dbffea7dc0,CompanyLinkCreated,6d0f5fa7-7e4f-417d-a8fe-07682da182e8,,,,,14,i:0h.f|membership|1234567890dd45@live.com,0,1,OneDrive,,,,https://contoso-my.sharepoint.com/personal/user_test_contoso_co_uk/Documents/Microsoft Teams Chat Files/log-file-information_2023-12-18_1512.log,test@contoso.sharepoint.com,9c00f9a0-0028-7000-d005-a3033a8260e4,SharePoint,File,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Teams/1.6.00.34456 Chrome/102.0.5005.197 Electron/19.1.8 Safari/537.36",<Type>View</Type><MembersCanShareApplied>False</MembersCanShareApplied>,efb03cdc-a133-4523-9343-6b565833615a,3b063048-57a9-48bc-a453-5ae450cc0631,,https://contoso-my.sharepoint.com/personal/user_test_contoso_co_uk,log,log-file-information_2023-12-18_1512.log,Documents/Microsoft Teams Chat Files/log-file-information_2023-12-18_1512.log
12/19/2023 10:55:52 AM,0087f4b9-2a0c-48d4-dae2-08dc008111a7,Create,6d0f5fa7-7e4f-417d-a8fe-07682da182e8,contoso.onmicrosoft.com,"L0000000000000 (10.10.1000.000)
",,,2,1234567890dd45,0,1,Exchange,,,Succeeded,,test@contoso.sharepoint.com,00000000-0000-0000-0000-000000000000,,,,,,,,,,,
12/19/2023 10:55:09 AM,1bc194e1-528f-4ae1-22a4-08dc0080f817,Create,6d0f5fa7-7e4f-417d-a8fe-07682da182e8,contoso.onmicrosoft.com,"L0000000000000 (10.10.1000.000)
",,,2,1234567890dd45,0,1,Exchange,,,Succeeded,,test@contoso.sharepoint.com,00000000-0000-0000-0000-000000000000,,,,,,,,,,,
12/19/2023 10:55:11 AM,056ef9d0-7914-4a9f-059c-08dc0080f8fc,Create,6d0f5fa7-7e4f-417d-a8fe-07682da182e8,contoso.onmicrosoft.com,"L0000000000000 (10.10.1000.000)
",,,2,1234567890dd45,0,1,Exchange,,,Succeeded,,test@contoso.sharepoint.com,00000000-0000-0000-0000-000000000000,,,,,,,,,,,
12/19/2023 12:14:40 PM,2f3323fa-4168-483a-32e7-08dc008c136e,Create,6d0f5fa7-7e4f-417d-a8fe-07682da182e8,contoso.onmicrosoft.com,"L0000000000000 (10.10.1000.000)
",,,2,1234567890dd45,0,1,Exchange,,,Succeeded,,test@contoso.sharepoint.com,00000000-0000-0000-0000-000000000000,,,,,,,,,,,
12/19/2023 10:55:09 AM,1bc194e1-528f-4ae1-22a4-08dc0080f817,Create,6d0f5fa7-7e4f-417d-a8fe-07682da182e8,contoso.onmicrosoft.com,"L0000000000000 (10.10.1000.000)
",,,2,1234567890dd45,0,1,Exchange,,,Succeeded,,test@contoso.sharepoint.com,00000000-0000-0000-0000-000000000000,,,,,,,,,,,
12/18/2023 2:13:52 AM,d4f3aed4-7200-4015-8708-08dbff6efadb,Create,6d0f5fa7-7e4f-417d-a8fe-07682da182e8,contoso.onmicrosoft.com,"L0000000000000 (10.10.1000.000)
",,,2,1234567890dd45,0,1,Exchange,,,Succeeded,,test@contoso.sharepoint.com,00000000-0000-0000-0000-000000000000,,,,,,,,,,,
12/19/2023 10:55:11 AM,056ef9d0-7914-4a9f-059c-08dc0080f8fc,Create,6d0f5fa7-7e4f-417d-a8fe-07682da182e8,contoso.onmicrosoft.com,"L0000000000000 (10.10.1000.000)
",,,2,1234567890dd45,0,1,Exchange,,,Succeeded,,test@contoso.sharepoint.com,00000000-0000-0000-0000-000000000000,,,,,,,,,,,
12/19/2023 11:10:20 AM,d1591183-93b0-4e22-0f21-08dc008316e5,Create,6d0f5fa7-7e4f-417d-a8fe-07682da182e8,contoso.onmicrosoft.com,"L0000000000000 (10.10.1000.000)
",,,2,1234567890dd45,0,1,Exchange,,,Succeeded,,test@contoso.sharepoint.com,00000000-0000-0000-0000-000000000000,,,,,,,,,,,
12/18/2023 2:40:38 PM,fdfd59ae-cbdb-4ccf-0e07-08dbffd74d44,Create,6d0f5fa7-7e4f-417d-a8fe-07682da182e8,contoso.onmicrosoft.com,"L0000000000000 (10.10.1000.000)
",,,2,1234567890dd45,0,1,Exchange,,,Succeeded,,test@contoso.sharepoint.com,00000000-0000-0000-0000-000000000000,,,,,,,,,,,
12/19/2023 12:14:40 PM,2f3323fa-4168-483a-32e7-08dc008c136e,Create,6d0f5fa7-7e4f-417d-a8fe-07682da182e8,contoso.onmicrosoft.com,"L0000000000000 (10.10.1000.000)
",,,2,1234567890dd45,0,1,Exchange,,,Succeeded,,test@contoso.sharepoint.com,00000000-0000-0000-0000-000000000000,,,,,,,,,,,
12/18/2023 2:40:38 PM,fdfd59ae-cbdb-4ccf-0e07-08dbffd74d44,Create,6d0f5fa7-7e4f-417d-a8fe-07682da182e8,contoso.onmicrosoft.com,"L0000000000000 (10.10.1000.000)
",,,2,1234567890dd45,0,1,Exchange,,,Succeeded,,test@contoso.sharepoint.com,00000000-0000-0000-0000-000000000000,,,,,,,,,,,
12/19/2023 10:55:52 AM,0087f4b9-2a0c-48d4-dae2-08dc008111a7,Create,6d0f5fa7-7e4f-417d-a8fe-07682da182e8,contoso.onmicrosoft.com,"L0000000000000 (10.10.1000.000)
",,,2,1234567890dd45,0,1,Exchange,,,Succeeded,,test@contoso.sharepoint.com,00000000-0000-0000-0000-000000000000,,,,,,,,,,,
12/19/2023 11:10:20 AM,d1591183-93b0-4e22-0f21-08dc008316e5,Create,6d0f5fa7-7e4f-417d-a8fe-07682da182e8,contoso.onmicrosoft.com,"L0000000000000 (10.10.1000.000)
",,,2,1234567890dd45,0,1,Exchange,,,Succeeded,,test@contoso.sharepoint.com,00000000-0000-0000-0000-000000000000,,,,,,,,,,,
12/18/2023 5:01:17 PM,837c87b0-bde3-4efb-be0a-08dbffeaf375,FileAccessed,6d0f5fa7-7e4f-417d-a8fe-07682da182e8,,,,,6,i:0h.f|membership|1234567890dd45@live.com,0,1,SharePoint,,,,https://contoso.sharepoint.com/teams/test/SiteAssets/__siteIcon__.jpg,test@contoso.sharepoint.com,cc00f9a0-408f-7000-deb4-a3f1f3f95ce4,SharePoint,File,Microsoft Office Excel/16.0.16924.20054 (Windows/10.0; Desktop x64; en-GB; Desktop app; HP/HP ProBook 440 14 inch G9 Notebo),,a3b121a2-06ef-4341-87af-e81b1abf7b8a,3c1bb20c-786e-4297-9351-27bc3622ae39,,https://contoso.sharepoint.com/teams/test/,jpg,__siteIcon__.jpg,SiteAssets
